// 配饰装备图标索引映射
// 格式: 索引,名称,类型
// 用于客户端代码中加载正确的图标

// === 戒指 (Ring) ===
50,冰晶戒指,ring
51,霜魄戒指,ring
52,凝霜戒指,ring
53,夜行戒指,ring
54,暗影戒指,ring
55,亡灵戒指,ring
56,噬魂戒指,ring
57,骸骨戒指,ring
58,血魄戒指,ring
59,血蝠戒指,ring
60,龙炎戒指,ring
61,龙魂戒指,ring
62,龙威戒指,ring
63,黏液戒指,ring

// === 靴子 (Boots) ===
200,寒冰之靴,boots
201,冰魄之靴,boots
202,凝霜之靴,boots
203,暗夜之靴,boots
204,亡灵之靴,boots
205,噬魂之靴,boots
206,骸骨之靴,boots
207,血影之靴,boots
208,龙炎之靴,boots
209,龙魂之靴,boots
210,龙威之靴,boots
211,黏液之靴,boots

// === 腰带 (Belt) ===
250,寒冰腰带,belt
251,冰魄腰带,belt
252,凝霜腰带,belt
253,暗影腰带,belt
254,亡灵腰带,belt
255,噬魂腰带,belt
256,骸骨腰带,belt
257,血蝠腰带,belt
258,龙炎腰带,belt
259,龙魂腰带,belt
260,龙威腰带,belt
261,黏液腰带,belt
