# 配饰图标索引
# 格式: 索引,名称,类型,X,Y
0,冰晶戒指,ring,0,0
1,霜魄戒指,ring,32,0
2,凝霜戒指,ring,64,0
3,寒冰之靴,boots,96,0
4,冰魄之靴,boots,128,0
5,凝霜之靴,boots,160,0
6,寒冰腰带,belt,192,0
7,冰魄腰带,belt,224,0
8,凝霜腰带,belt,0,32
9,夜行戒指,ring,32,32
10,暗影戒指,ring,64,32
11,暗夜之靴,boots,96,32
12,暗影腰带,belt,128,32
13,亡灵戒指,ring,160,32
14,噬魂戒指,ring,192,32
15,骸骨戒指,ring,224,32
16,亡灵之靴,boots,0,64
17,噬魂之靴,boots,32,64
18,骸骨之靴,boots,64,64
19,亡灵腰带,belt,96,64
20,噬魂腰带,belt,128,64
21,骸骨腰带,belt,160,64
22,血魄戒指,ring,192,64
23,血蝠戒指,ring,224,64
24,血影之靴,boots,0,96
25,血蝠腰带,belt,32,96
26,龙炎戒指,ring,64,96
27,龙魂戒指,ring,96,96
28,龙威戒指,ring,128,96
29,龙炎之靴,boots,160,96
30,龙魂之靴,boots,192,96
31,龙威之靴,boots,224,96
32,龙炎腰带,belt,0,128
33,龙魂腰带,belt,32,128
34,龙威腰带,belt,64,128
35,黏液戒指,ring,96,128
36,黏液之靴,boots,128,128
37,黏液腰带,belt,160,128
